WORK_OBJECT_AVAILABLE_DATE|BO_Team|WORK_OBJECT_ID_Count|Team Location
2015-01-01|ADVISER - LIFE (CH) MUMBAI||Offshore
2015-01-01|ANNUITIES SERVICING||Offshore
2015-01-01|AVC MUMBAI||Offshore
2015-01-01|AVC_CLAIMS||England
2015-01-01|AVC_REVISIONS||England
2015-01-01|AVC_SERVICING||England
2015-01-01|BEREAVEMENTS||Offshore
2015-01-01|CDR DSS||Offshore
2015-01-01|CDT MUMBAI||Offshore
2015-01-01|CORPORATE PENSIONS||Offshore
2015-01-01|CORPORATE_PENSIONS||England
2015-01-01|DA ADMIN||Offshore
2015-01-01|EPP_MK1||England
2015-01-01|EPP_MK2-4||England
2015-01-01|IB PAY & SERVICING MUMBAI||Offshore
2015-01-01|IB_BEREAVEMENTS||England
2015-01-01|ILLUSTRATIONS MUMBAI||Offshore
2015-01-01|IPM FSAVC MUMBAI||Offshore
2015-01-01|MPP||England
2015-01-01|MPP_SCHEME_SERVICING||England
2015-01-01|NEW BUSINESS||Offshore
2015-01-01|NEW_WORLD_BEREAVEMENTS||England
2015-01-01|OB_LIFE_BEREAVEMENTS||England
2015-01-01|OPAL_BEREAVEMENTS||England
2015-01-01|PCPS_PCRS||England
2015-01-01|PG_SERV||England
2015-01-01|POLICY HOLDER - LIFE (NW) MUMBAI||Offshore
2015-01-01|POLICY HOLDER - LIFE (OB) MUMBAI||Offshore
2015-01-01|PRUBOND||England
2015-01-01|PRUBOND NBS (DGT)||Offshore
2015-01-01|PRUBOND SERVICING & CLAIMS MUMBAI||Offshore
2015-01-01|PRUBONDS NEW BUSINESS|1|Offshore
2015-01-01|PRUFUND_BEREAVEMENTS||England
2015-01-01|RIG & PH PP MUMBAI||Offshore
2015-01-01|RP||England
2015-01-01|RP_BEREAVEMENTS||England
2015-01-01|RPPAP MUMBAI||Offshore
2015-01-01|RPTB|1|England
2015-01-01|SCHEME NORTH MUMBAI||Offshore
2015-01-01|SERVICING||Offshore
2015-01-01|SHP_CLAIMS||England
